FAMD comp,eigenvalue,percentage of variance,cumulative percentage of variance
comp 1,4.3515634297496755,11.157854948076093,11.157854948076093
comp 2,2.7019922514816326,6.9281852602093155,18.086040208285407
comp 3,2.207025463827315,5.65903965083927,23.74507985912468
comp 4,1.9564475106301027,5.0165320785387255,28.761611937663403
comp 5,1.8067914274498789,4.632798531922767,33.39441046958617
