FAMD comp,eigenvalue,percentage of variance,cumulative percentage of variance
comp 1,7.527381650825938,4.952224770280223,4.952224770280223
comp 2,6.5792608099099414,4.328461059151277,9.2806858294315
comp 3,5.016803142064944,3.3005283829374634,12.581214212368963
comp 4,4.306946527181452,2.8335174520930604,15.414731664462023
comp 5,3.693972735464123,2.4302452207000806,17.844976885162104
